,url
154,https://www.sozcu.com.tr/2023/gunun-icinden/yatirimcilari-dolandirdilar-15-gozalti-7793376/
155,https://www.sozcu.com.tr/2023/gundem/toki-isyani-halk-sokaga-dokuldu-7773785/
156,https://www.sozcu.com.tr/2023/gunun-icinden/devrilen-kamyonun-surucusu-oldu-7787870/
157,https://www.sozcu.com.tr/2023/gunun-icinden/kamyonet-kasasindan-38-kacak-gocmen-cikti-7812855/
158,https://www.sozcu.com.tr/2023/dunya/ingilterede-kadinlara-dehset-dusuren-deney-sorusturma-istendi-7786173/
159,https://www.sozcu.com.tr/2023/gunun-icinden/catida-yangin-cikti-7-binaya-sicradi-7805307/
160,https://www.sozcu.com.tr/2023/ekonomi/tmo-misir-alim-fiyati-ne-kadar-7781081/
161,https://www.sozcu.com.tr/2023/dunya/ingilterede-hapisten-kacan-ajan-icin-seferberlik-7796658/
162,https://www.sozcu.com.tr/spor/futbol/goztepede-buyuk-hayal-kirikligi-7784865/
163,https://www.sozcu.com.tr/2023/dunya/ingilterede-okullara-tehdit-e-postalari-gonderildi-7800696/
164,https://www.sozcu.com.tr/2023/gundem/65-yas-ustu-ucretsiz-ulasim-icin-ibbden-aciklama-geldi-7782017/
165,https://www.sozcu.com.tr/2023/gundem/istanbul-icin-firtina-uyarisi-bu-saatlere-dikkat-7812437/
166,https://www.sozcu.com.tr/2023/dunya/antalyada-tas-toplamislardi-belcikali-cifte-kacakciliktan-gozalti-7806058/
167,https://www.sozcu.com.tr/2023/ekonomi/bp-ceosunun-basini-cinsel-iliskileri-mi-yakti-7805218/
168,https://www.sozcu.com.tr/spor/futbol/umit-milliler-italyaya-direnemedi-2de-0-7800861/
169,https://www.sozcu.com.tr/2023/teknoloji/iphone-15-fiyati-ne-kadar-iphone-15-pro-max-fiyati-agizlari-acik-birakmaya-hazirlaniyor-7800645/
170,https://www.sozcu.com.tr/2023/gundem/universiteliler-bir-aylik-burslariyla-memleketlerine-gidip-donemiyor-7781201/
171,https://www.sozcu.com.tr/2023/gundem/pes-damadin-gbtsi-icin-bile-aradilar-7804929/
172,https://www.sozcu.com.tr/2023/gundem/denizde-ceset-bulundu-gunlerdir-acelya-olabilir-7815298/
