,0
132,https://www.dailysun.co.za/dailysun/news/families-begin-identification-of-dieploot-burned-bodies-as-community-grapples-with-vigilante-justice-fallout-20231203
133,https://www.dailysun.co.za/dailysun/news/new-waste-management-facility-to-tackle-illegal-dumping-20240703
134,https://www.dailysun.co.za/dailysun/news/sassa-payment-dates-for-december-2023-20231123
135,https://www.dailysun.co.za/dailysun/news/actionsa-leader-herman-mashaba-calls-for-prosecution-after-lily-mine-incident-20231025
136,https://www.dailysun.co.za/dailysun/news/melokuhle-ngwenya-was-allegedly-killed-by-her-mums-neighbours-after-an-argument-20240410
137,https://www.dailysun.co.za/dailysun/news/names-of-the-pupils-killed-in-bus-crash-released-20240210
138,https://www.dailysun.co.za/dailysun/news/21-july-haunts-mum-20240721
139,https://www.dailysun.co.za/dailysun/news/kzns-anc-aligned-organisation-dumps-jacob-zuma-20240217
140,https://www.dailysun.co.za/dailysun/news/tragic-death-of-teen-at-initiation-school-raises-concerns-20240709
141,https://www.dailysun.co.za/dailysun/news/soshanguve-drivers-unite-after-colleagues-brutal-murder-20240712
142,https://www.dailysun.co.za/dailysun/news/man-accused-of-killing-six-sex-workers-appeared-at-the-johannesburg-high-court-20240202
143,https://www.dailysun.co.za/dailysun/news/concern-grows-as-husband-remains-trapped-underground-despite-miner-release-at-gold-one-mine-20231025
144,https://www.dailysun.co.za/dailysun/news/taxi-association-mourns-loss-of-taxi-owner-who-was-allegedly-killed-by-stepson-20240206
145,https://www.dailysun.co.za/dailysun/news/more-delays-in-jukulyn-mass-shooting-matter-20240419
146,https://www.dailysun.co.za/dailysun/news/free-state-kasi-residents-traumatized-after-two-attackers-stab-a-known-man-to-death-20240116
147,https://www.dailysun.co.za/dailysun/news/watch-shock-as-95-bust-at-secret-military-camp-20240726
148,https://www.dailysun.co.za/dailysun/news/darkness-ekasi-after-eskom-workers-brutal-attack-20240601
149,https://www.dailysun.co.za/dailysun/news/fire-destroys-shacks-at-plastic-view-east-of-tshwane-20231105
150,https://www.dailysun.co.za/dailysun/news/funeral-parlour-owner-andrew-peterson-robbed-in-his-home-20231031
151,https://www.dailysun.co.za/dailysun/news/king-masombuka-lucky-skosana-of-the-manala-mgibi-royal-house-has-questioned-the-legitimacy-of-basotho-kingship-20240125
152,https://www.dailysun.co.za/dailysun/news/another-thembisa-mob-attack-claims-two-lives-cop-asking-for-help-20240516
153,https://www.dailysun.co.za/dailysun/news/kzn-mass-shooting-five-inanda-durban-men-shot-dead-by-gun-men-20231026
154,https://www.dailysun.co.za/dailysun/news/foreign-nationals-owned-spaza-shops-continue-to-be-closed-20231108
155,https://www.dailysun.co.za/dailysun/news/9-year-old-allegedly-stabs-11-year-old-to-death-in-free-state-school-tragedy-20240510
156,https://www.dailysun.co.za/dailysun/news/thuthukani-movement-wants-2024-general-elections-to-be-stopped-20231110
157,https://www.dailysun.co.zahttps://youtu.be/dk2LApSmXao
158,https://www.dailysun.co.za/dailysun/news/elections/hope4sa-political-party-demands-prayer-return-to-schools-20240514
159,https://www.dailysun.co.za/dailysun/news/matjhabeng-municipality-workers-in-free-state-are-angry-over-unpaid-salaries-20231027
160,https://www.dailysun.co.za/dailysun/news/tshwane-resident-together-with-eff-protest-for-high-billings-and-crime-20231109
161,https://www.dailysun.co.za/dailysun/news/soweto-mum-told-to-terminate-pregnancy-because-of-birth-defect-20231102
162,https://www.dailysun.co.za/dailysun/news/johannesburg-solidarity-rally-denounces-violence-in-palestine-calls-for-israels-netanyahus-arrest-20231130
163,https://www.dailysun.co.za/dailysun/news/kidnapped-mpumalanga-victims-daring-escape-from-mozambique-to-reunite-with-families-20240219
164,https://www.dailysun.co.za/dailysun/news/national-union-of-mineworkers-terminated-its-agreement-with-gold-one-mine-in-springs-20231115
165,https://www.dailysun.co.za/dailysun/jokes/joke-ke-joke-eskom-announces-stage-16-load-shedding-20240410
166,https://www.dailysun.co.za/dailysun/news/justice-for-teen-raped-by-boozers-20231207
167,https://www.dailysun.co.za/dailysun/news/elections/inkatha-freedom-party-pleads-with-voters-in-the-upcoming-elections-20240522
168,https://www.dailysun.co.za/dailysun/news/ekurhuleni-residents-fear-for-their-lives-after-an-elderly-woman-was-shot-by-thugs-20240430
169,https://www.dailysun.co.za/dailysun/news/court-issues-warrant-arrest-for-former-cop-simon-ndyalvane-in-nathaniel-julies-murder-case-20240229
170,https://www.dailysun.co.za/dailysun/news/constable-bongimpilo-nzuzu-bengu-arrested-for-the-murder-of-jmpd-officer-sibusiso-zikalala-20231101
171,https://www.dailysun.co.za/dailysun/news/elections/mk-party-shakes-up-south-african-political-scene-with-surging-election-popularity-20240530
172,https://www.dailysun.co.za/dailysun/news/family-of-slain-angelina-molepo-from-ekurhuleni-wants-justice-20240601
173,https://www.dailysun.co.za/dailysun/news/police-to-probe-tragic-death-of-a-toddler-inside-pit-toilet-20240625
174,https://www.dailysun.co.za/dailysun/news/murder-accused-said-it-would-be-magic-to-place-me-to-murder-scene-20240207
175,https://www.dailysun.co.za/dailysun/news/retired-eastern-cape-cop-seen-burning-uniform-20231103
176,https://www.dailysun.co.za/dailysun/news/iec-records-12-million-new-registered-voters-since-november-20240206
177,https://www.dailysun.co.za/dailysun/news/residents-of-limpopo-shocked-by-the-rape-of-a-child-3-20240314
178,https://www.dailysun.co.za/dailysun/news/late-apartheid-activist-oscar-mpethas-son-themba-mpetha-is-gatvol-of-his-neighbours-after-jacob-zumas-visit-20240315
179,https://www.dailysun.co.za/dailysun/news/commuters-witness-fatal-shooting-on-metrobus-20240626
180,https://www.dailysun.co.za/dailysun/news/congress-of-the-people-leader-mosiuoa-lekota-hits-at-possibly-retiring-20240327
181,https://www.dailysun.co.za/dailysun/news/school-principal-among-two-latest-suspects-arrested-in-dr-johannes-mehlape-murder-case-20240125
182,https://www.dailysun.co.za/dailysun/news/menlyn-taxi-association-demands-r1-million-from-city-of-tshwane-over-brt-route-disputes-20240807
183,https://www.dailysun.co.za/dailysun/news/national-taxi-alliance-nta-and-south-african-national-taxi-council-santaco-agreement-is-revolutionizing-south-african-taxi-industry-20240423
184,https://www.dailysun.co.za/dailysun/news/samwu-accuses-actionsa-of-fuelling-pikitup-strike-20240522
185,https://www.dailysun.co.za/dailysun/news/murdered-oakdale-secondary-school-pupil-siyanda-malingas-alleged-teen-killer-to-appear-in-court-20240212
186,https://www.dailysun.co.za/dailysun/news/umkhonto-wesizwe-mk-party-members-joined-jacob-zuma-in-orlando-stadium-for-manifesto-launch-20240518
187,https://www.dailysun.co.za/dailysun/news/former-sabc-chief-operating-officer-hlaudi-motsoeneng-says-south-africans-should-stop-voting-for-the-anc-20240401
188,https://www.dailysun.co.za/dailysun/news/2023-tragedies-that-left-south-africa-reeling-in-shock-20231231
189,https://www.dailysun.co.za/dailysun/news/izangoma-battle-against-fake-gobelas-20240714
190,https://www.dailysun.co.za/dailysun/news/eastern-cape-pupil-from-rocklands-combined-school-dies-in-school-stabbing-incident-20240730
191,https://www.dailysun.co.za/dailysun/news/traditional-healer-dr-kuppe-banda-said-the-ancestors-are-angry-at-kaizer-chiefs-20231029
192,https://www.dailysun.co.za/dailysun/news/the-residents-of-protea-glen-in-soweto-lived-without-water-for-3-years-in-inhumane-conditions-20231204
193,https://www.dailysun.co.za/dailysun/news/president-ramaphosas-new-cabinet-faces-mixed-reaction-from-youth-20240703
194,https://www.dailysun.co.za/dailysun/news/king-misuzulu-addresses-siboniso-dumas-behaviour-towards-traditional-prime-minister-rev-thulasizwe-buthelezi-20240322
195,https://www.dailysun.co.za/dailysun/news/mafika-recalls-how-bomb-ripped-friend-apart-20231123
196,https://www.dailysun.co.za/dailysun/news/gogo-ramadimetja-dikgale-105-celebrating-her-birthday-in-style-20231224
197,https://www.dailysun.co.za/dailysun/news/mzansis-rapturous-welcome-for-the-springboks-20231031
198,https://www.dailysun.co.za/dailysun/news/herman-mashaba-calls-for-action-on-illegal-businesses-in-hammanskraal-20240810
199,https://www.dailysun.co.za/dailysun/news/prince-lethukuthula-zulus-alleged-spikers-appear-in-court-20231117
200,https://www.dailysun.co.za/dailysun/news/izinyoka-steal-cables-from-streetlights-20240323
201,https://www.dailysun.co.za/dailysun/news/jacob-zuma-to-face-cyril-ramaphosa-in-court-over-private-prosecution-case-20240806
202,https://www.dailysun.co.za/dailysun/news/thugs-shoot-dead-four-people-in-shack-in-nyanga-western-cape-20240502
203,https://www.dailysun.co.za/dailysun/news/elections/hostel-dwellers-in-kzn-came-in-numbers-to-vote-in-the-2024-elections-20240531
204,https://www.dailysun.co.za/dailysun/news/tragic-end-for-lerato-nyakane-as-family-mourns-at-funeral-20240714
205,https://www.dailysun.co.za/dailysun/news/the-trial-of-senzo-meyiwa-continues-at-north-gauteng-high-court-20240209
206,https://www.dailysun.co.za/dailysun/news/foreign-national-woman-stranded-in-mzansi-after-date-trip-turns-sour-20240527
207,https://www.dailysun.co.za/dailysun/news/18-year-old-drowns-in-vaal-dam-search-continues-for-missing-teen-20240812
208,https://www.dailysun.co.za/dailysun/news/veteran-photojournalist-dr-peter-magubane-memorial-to-be-held-in-soweto-20240108
209,https://www.dailysun.co.za/dailysun/news/mpumalanga-elderly-man-wants-justice-after-his-daughter-was-killed-and-burnt-20240305
